track_name,artist,album,release_date,spotify_url,track_id
I'm Good (Blue),David Guetta,I'm Good (Blue),2022-08-26,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,4uUG5RXrOk84mYEfFvj3cK
Yummy,Whisnu Santika,Yummy,2024-02-21,https://open.spotify.com/track/2TnUiROEcAE7rAr9ziCg7M,2TnUiROEcAE7rAr9ziCg7M
Take Me Home (feat. Bebe Rexha) - Acoustic,Cash Cash,Acoustic Collection (Vol. 1),2021-10-29,https://open.spotify.com/track/3j9AY9emI5H45iMxTpT4TJ,3j9AY9emI5H45iMxTpT4TJ
Leave Before You Love Me (with Jonas Brothers),Marshmello,Leave Before You Love Me,2021-05-21,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1,4qu63nuBpdn0qHUHuObEj1
U Are My High (with Future),DJ Snake,U Are My High (with Future),2021-12-03,https://open.spotify.com/track/0ITaSRuI0L1RNL7ZNYTTi7,0ITaSRuI0L1RNL7ZNYTTi7
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,2024-04-05,https://open.spotify.com/track/331l3xABO0HMr1Kkyh2LZq,331l3xABO0HMr1Kkyh2LZq
When We Were Young (The Logical Song),David Guetta,When We Were Young (The Logical Song),2023-11-10,https://open.spotify.com/track/1CcLA0eaauck34YEIrvAAq,1CcLA0eaauck34YEIrvAAq
LATHI (with Sara Fajira),Weird Genius,LATHI (with Sara Fajira),2020-02-28,https://open.spotify.com/track/06pezDUwqVsUfpBNw6uJir,06pezDUwqVsUfpBNw6uJir
Moth To A Flame (with The Weeknd),Swedish House Mafia,Paradise Again,2022-04-15,https://open.spotify.com/track/0VO8gYVDSwM1Qdd2GsMoYK,0VO8gYVDSwM1Qdd2GsMoYK
One Kiss (with Dua Lipa),Calvin Harris,96 Months,2024-08-08,https://open.spotify.com/track/76dIZzTdrNO15mGBrU3MHi,76dIZzTdrNO15mGBrU3MHi
This Is What You Came For,Calvin Harris,96 Months,2024-08-08,https://open.spotify.com/track/2vlDrKpOC0eSTqTDRcbYyw,2vlDrKpOC0eSTqTDRcbYyw
Down 2 Diss (VIP Edit),Whisnu Santika,Down 2 Diss (VIP Edit),2024-02-02,https://open.spotify.com/track/015k4bwIeQk7TvJUTOQZn2,015k4bwIeQk7TvJUTOQZn2
Thank You (Not So Bad),Dimitri Vegas & Like Mike,Thank You (Not So Bad),2023-12-01,https://open.spotify.com/track/09CnYHiZ5jGT1wr1TXJ9Zt,09CnYHiZ5jGT1wr1TXJ9Zt
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",2021-10-22,https://open.spotify.com/track/6IPNp9PfaEqrzotY47TIWy,6IPNp9PfaEqrzotY47TIWy
Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me,2023-04-06,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi,3BKD1PwArikchz2Zrlp1qi
Somewhere Only We Know,Umur Anil Gokdag,Somewhere Only We Know,2022-12-09,https://open.spotify.com/track/6Cf1vqSNtka62rt74OQwjk,6Cf1vqSNtka62rt74OQwjk
Catalyst.,Weird Genius,Catalyst.,2023-12-08,https://open.spotify.com/track/5V8dpQ1eFrDjJvw0hnrIqh,5V8dpQ1eFrDjJvw0hnrIqh
End of Time,K-391,End of Time,2020-03-06,https://open.spotify.com/track/67O8CWXxPsfz8orZVGMQwf,67O8CWXxPsfz8orZVGMQwf
Moth To A Flame (with The Weeknd),Swedish House Mafia,Moth To A Flame,2022-01-03,https://open.spotify.com/track/7kfOEMJBJwdCYqyJeEnNhr,7kfOEMJBJwdCYqyJeEnNhr
Be Kind (with Halsey),Marshmello,Be Kind (with Halsey),2020-05-01,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,3Z8FwOEN59mRMxDCtb8N0A
Keep On Moving,Whisnu Santika,Keep On Moving,2021-09-25,https://open.spotify.com/track/0Mhpl2xX31wedZgSCTxLyo,0Mhpl2xX31wedZgSCTxLyo
Moth To A Flame (with The Weeknd),Swedish House Mafia,Dawn FM (Alternate World),2022-01-07,https://open.spotify.com/track/3uuR20w7HgLlb5Hha2mCxb,3uuR20w7HgLlb5Hha2mCxb
U Are My High,DJ Snake,U Are My High,2021-07-28,https://open.spotify.com/track/3S7A85bAWOd6ltk6r2ANOI,3S7A85bAWOd6ltk6r2ANOI
Glorious - The Official Song of FIFA U-20 World Cup Argentina 2023™,Weird Genius,Glorious (The Official Song of FIFA U-20 World Cup Argentina 2023™),2023-05-12,https://open.spotify.com/track/4X7IYCqR576rQi9D1pVUxQ,4X7IYCqR576rQi9D1pVUxQ
Tak Selalu - Remix,Whisnu Santika,Tak Selalu (Remix),2022-01-26,https://open.spotify.com/track/2p4kVXckbPJYSP0HpyEWDj,2p4kVXckbPJYSP0HpyEWDj
Whatever,Kygo,Whatever,2024-01-19,https://open.spotify.com/track/0LMwmV37RCmBO2so0szAFs,0LMwmV37RCmBO2so0szAFs
Bring Me Back,Miles Away,Bring Me Back,2020-11-20,https://open.spotify.com/track/0pzGsgrMvEtHZW6XzpY6Cs,0pzGsgrMvEtHZW6XzpY6Cs
Future Ghost (feat. Violette Wautier),Weird Genius,Future Ghost (feat. Violette Wautier),2021-09-10,https://open.spotify.com/track/3LcAn7vLisYcHAnACmLvO1,3LcAn7vLisYcHAnACmLvO1
SURVIVOR,Umur Anil Gokdag,SURVIVOR,2023-06-19,https://open.spotify.com/track/61p7JH9L1xZvU6ioJeN2zJ,61p7JH9L1xZvU6ioJeN2zJ
Tie Me Down,Gryffin,SUMMER LOUNGE 2020,2020-05-29,https://open.spotify.com/track/3MivkdWuQlp938g5vs6sgC,3MivkdWuQlp938g5vs6sgC
Hush,Yellow Claw,Hush,2020-07-31,https://open.spotify.com/track/1lgtfCEsMpIIwvlPZvrL9h,1lgtfCEsMpIIwvlPZvrL9h
My Way,Calvin Harris,96 Months,2024-08-08,https://open.spotify.com/track/3ejfcz0QPyV717Vd3ta04V,3ejfcz0QPyV717Vd3ta04V
This Is The Life,Umur Anil Gokdag,This Is The Life,2024-03-26,https://open.spotify.com/track/6y29RB4vTw1y5u0VNohTUt,6y29RB4vTw1y5u0VNohTUt
Numb,Marshmello,Numb,2022-06-10,https://open.spotify.com/track/10xV5l9nhLvFpR8mqzs0bL,10xV5l9nhLvFpR8mqzs0bL
Glorious The Remix - The Official Song of FIFA U-17 World Cup Indonesia 2023™,Weird Genius,Glorious The Remix (The Official Song of FIFA U-17 World Cup Indonesia 2023™),2023-11-02,https://open.spotify.com/track/0C4wYGulYsP9O3FMQquRSI,0C4wYGulYsP9O3FMQquRSI
Whatever,Kygo,KYGO,2024-06-21,https://open.spotify.com/track/4rTPLtqJxa4UtCBkdMwSp6,4rTPLtqJxa4UtCBkdMwSp6
Somewhere Only We Know - Sped Up Version,Umur Anil Gokdag,Somewhere Only We Know (Sped Up Version),2023-11-30,https://open.spotify.com/track/3LY6yLTmsY7T7Ld69fDKGI,3LY6yLTmsY7T7Ld69fDKGI
How Deep Is Your Love,Calvin Harris,96 Months,2024-08-08,https://open.spotify.com/track/4slBllHFZYlpg3IjeX5CBl,4slBllHFZYlpg3IjeX5CBl
hate u love u,Umur Anil Gokdag,hate u love u,2024-07-18,https://open.spotify.com/track/70zZhEDOfVzrFC1Ubqe5sR,70zZhEDOfVzrFC1Ubqe5sR
abcdefu,Umur Anil Gokdag,abcdefu,2022-03-18,https://open.spotify.com/track/4gjAtmHt28E9rwqOO3bMHT,4gjAtmHt28E9rwqOO3bMHT
Where Are You Now,Lost Frequencies,Where Are You Now,2021-07-30,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,3uUuGVFu1V7jTQL60S1r8z
Sweater Weather,Umur Anil Gokdag,Sweater Weather,2023-05-04,https://open.spotify.com/track/5hRGVmAudNvg3g55v8YReR,5hRGVmAudNvg3g55v8YReR
Miles On It,Marshmello,Miles On It,2024-05-03,https://open.spotify.com/track/4pkb8SbRGeHAvdb87v9rpf,4pkb8SbRGeHAvdb87v9rpf
You & Me - Rivo Remix,Disclosure,You & Me (Rivo Remix),2023-12-22,https://open.spotify.com/track/0xoYZ45fgTfyQYREZPN7Sa,0xoYZ45fgTfyQYREZPN7Sa
abcdefu - Sped Up Version,Umur Anil Gokdag,abcdefu (Sped Up Version),2024-01-04,https://open.spotify.com/track/4LCpctU6N0i4Mpk5uDsY64,4LCpctU6N0i4Mpk5uDsY64
SURVIVOR - Sped Up Version,Umur Anil Gokdag,SURVIVOR (Sped Up Version),2024-01-04,https://open.spotify.com/track/04I0TYgSXk7SXCzrdHU4IG,04I0TYgSXk7SXCzrdHU4IG
ANGELS LIKE YOU,Umur Anil Gokdag,ANGELS LIKE YOU,2024-02-05,https://open.spotify.com/track/4hao9nxU61sUbvdHywBnWx,4hao9nxU61sUbvdHywBnWx
Around The World (La La La La) - Sped Up Version,Umur Anil Gokdag,Around The World (La La La La),2023-09-10,https://open.spotify.com/track/3aBwmFHB6JHnWcsFWUZYKN,3aBwmFHB6JHnWcsFWUZYKN
Close Your Eyes,KSHMR,Close Your Eyes,2021-11-19,https://open.spotify.com/track/3h2aYVv7RHnOW0qGGYdYIT,3h2aYVv7RHnOW0qGGYdYIT
Around The World (La La La La),Umur Anil Gokdag,Around The World (La La La La),2023-09-10,https://open.spotify.com/track/1kBxioGjH3oHJyihNfaP3r,1kBxioGjH3oHJyihNfaP3r
Where Are You Now,Lost Frequencies,All Stand Together,2023-11-10,https://open.spotify.com/track/3mfER4ORePHvN35cbZ3dkV,3mfER4ORePHvN35cbZ3dkV
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,Heartbreak Anthem (with David Guetta & Little Mix),2021-05-20,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP,5K6Ssv4Z3zRvxt0P6EKUAP
Crying On The Dancefloor,Sam Feldt,Crying On The Dancefloor,2023-03-17,https://open.spotify.com/track/09rAJ1Q1NNJSaUKEW3X9P6,09rAJ1Q1NNJSaUKEW3X9P6
10:35,Tiësto,DRIVE,2023-04-21,https://open.spotify.com/track/36gcliMRX1vCpgnrZE3dFZ,36gcliMRX1vCpgnrZE3dFZ
Cold Heart,Umur Anil Gokdag,Cold Heart,2022-08-12,https://open.spotify.com/track/3Eb23lmJSCxgntqQnchFo8,3Eb23lmJSCxgntqQnchFo8
Never Going Home Tonight (feat. Madison Love),David Guetta,Never Going Home Tonight (feat. Madison Love),2024-09-06,https://open.spotify.com/track/7K1BLb6MpvKuGEPpHw35mO,7K1BLb6MpvKuGEPpHw35mO
Without You,Avicii,EDM Hits,2020-04-03,https://open.spotify.com/track/6DYIK7iExuYWKnNdIuLuWO,6DYIK7iExuYWKnNdIuLuWO
Cynical,twocolors,Cynical,2024-06-30,https://open.spotify.com/track/4fLnoXqsxHZFvGKppc7kCr,4fLnoXqsxHZFvGKppc7kCr
Rapture (Mi Amore),Umur Anil Gokdag,Rapture (Mi Amore),2024-02-09,https://open.spotify.com/track/2rnyCCRt5M9cut1Z0WwNAh,2rnyCCRt5M9cut1Z0WwNAh
LESSON LEARNED,Umur Anil Gokdag,LESSON LEARNED (Sped Up Version),2023-11-13,https://open.spotify.com/track/3PXNToNIboB0fg2cdF3zDd,3PXNToNIboB0fg2cdF3zDd
Words (feat. Zara Larsson),Alesso,Words (feat. Zara Larsson),2022-04-22,https://open.spotify.com/track/1bgKMxPQU7JIZEhNsM1vFs,1bgKMxPQU7JIZEhNsM1vFs
LESSON LEARNED - Sped Up Version,Umur Anil Gokdag,LESSON LEARNED (Sped Up Version),2023-11-13,https://open.spotify.com/track/23iMhEszM5hSFqprwgAWUQ,23iMhEszM5hSFqprwgAWUQ
Everything Goes On,Porter Robinson,Everything Goes On,2022-07-14,https://open.spotify.com/track/3WBRfkOozHEsG0hbrBzwlm,3WBRfkOozHEsG0hbrBzwlm
GOT ME BAD,Umur Anil Gokdag,GOT ME BAD,2023-02-17,https://open.spotify.com/track/7dQ5Gh9EZCZZ6CoLrb5hfy,7dQ5Gh9EZCZZ6CoLrb5hfy
Bring Me Back - Sped Up,Miles Away,Bring Me Back (VIP),2023-05-19,https://open.spotify.com/track/1n3TsY2SVQR2MaFxMsq68i,1n3TsY2SVQR2MaFxMsq68i
Run It (feat. Rick Ross & Rich Brian),DJ Snake,Shang-Chi and The Legend of The Ten Rings: The Album,2021-09-03,https://open.spotify.com/track/5x4vgABKiGp4Vg7ZyFRxhn,5x4vgABKiGp4Vg7ZyFRxhn
Desire (with Sam Smith),Calvin Harris,Desire (with Sam Smith),2023-07-28,https://open.spotify.com/track/22dUzMFttcR3uU17NcOAIv,22dUzMFttcR3uU17NcOAIv
Close Your Eyes (Bangun Tidur Selfi x Go Sampe Bawah) - DJ Kunam Remix,KSHMR,Close Your Eyes (Bangun Tidur Selfi x Go Sampe Bawah) [DJ Kunam Remix],2022-09-09,https://open.spotify.com/track/1g1uhOJhPJjlroPqMTwSqO,1g1uhOJhPJjlroPqMTwSqO
Higher Love,Kygo,Golden Hour,2020-05-29,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY,1kKYjjfNYxE0YYgLa7vgVY
You,Regard,You,2021-04-16,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE,2cc8Sw1OnCuA5bV8nqWqpE
Miracle (with Ellie Goulding),Calvin Harris,Miracle (with Ellie Goulding),2023-03-10,https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ,5eTaQYBE1yrActixMAeLcZ
Get in Trouble (So What),Dimitri Vegas & Like Mike,Get in Trouble (So What),2020-06-05,https://open.spotify.com/track/5KC7ginqShi7mhDQLttQh0,5KC7ginqShi7mhDQLttQh0
10:35,Tiësto,10:35,2022-11-03,https://open.spotify.com/track/6BePGk3eCan4FqaW2X8Qy3,6BePGk3eCan4FqaW2X8Qy3
Rock My Body,R3HAB,Rock My Body (with INNA & Sash!),2023-04-28,https://open.spotify.com/track/6pb5DtlAeG95dNQLHiArRU,6pb5DtlAeG95dNQLHiArRU
The Motto,Tiësto,The Motto,2021-11-04,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO,18asYwWugKjjsihZ0YvRxO
TALK ABOUT SEX - Sped Up Version,Umur Anil Gokdag,TALK ABOUT SEX,2023-12-15,https://open.spotify.com/track/0hjELGqdk30iaBdsIcSacZ,0hjELGqdk30iaBdsIcSacZ
LALALA,Umur Anil Gokdag,LALALA,2024-01-14,https://open.spotify.com/track/3KONLkLtJwNEXAhkhL5Wdb,3KONLkLtJwNEXAhkhL5Wdb
Stars Will Align,Kygo,Stars Will Align,2024-09-27,https://open.spotify.com/track/5REMa10O4aA2mLtYyflWxs,5REMa10O4aA2mLtYyflWxs
Hush - Feel Koplo Remix,Yellow Claw,Hush (Feel Koplo Remix),2020-09-11,https://open.spotify.com/track/6pJYBycyJ8WtzDMJaOdof8,6pJYBycyJ8WtzDMJaOdof8
Heaven Is A Place On Earth,W&W,Heaven Is A Place On Earth,2022-12-16,https://open.spotify.com/track/6FAmtZoa7jq6bH9GBjCRkM,6FAmtZoa7jq6bH9GBjCRkM
VIBRATION,Umur Anil Gokdag,VIBRATION,2023-08-29,https://open.spotify.com/track/6T7HqsDkwIfFwNRbhKwlzC,6T7HqsDkwIfFwNRbhKwlzC
TALK ABOUT SEX,Umur Anil Gokdag,TALK ABOUT SEX,2023-12-15,https://open.spotify.com/track/6VI6E1vrU2mdSpApp1ufC8,6VI6E1vrU2mdSpApp1ufC8
Move Your Body,Öwnboss,Move Your Body,2021-10-29,https://open.spotify.com/track/6GomT970rCOkKAyyrwJeZi,6GomT970rCOkKAyyrwJeZi
Mockingbird,Tiësto,Mockingbird,2024-05-03,https://open.spotify.com/track/2x4JC9TxW2LACuuxbsncfG,2x4JC9TxW2LACuuxbsncfG
Satisfaction,David Guetta,Satisfaction,2022-08-12,https://open.spotify.com/track/0lwyzp7GppQxv0Eu6wRkUo,0lwyzp7GppQxv0Eu6wRkUo
Work It,Florian Picasso,Work It,2023-09-01,https://open.spotify.com/track/4TqGe1UaneqGotEIwraZ75,4TqGe1UaneqGotEIwraZ75
It's Not Right But It's Okay,Mr. Belt & Wezol,It's Not Right But It's Okay,2024-02-23,https://open.spotify.com/track/5OFVzqSeFxGpvDGyHvVeLj,5OFVzqSeFxGpvDGyHvVeLj
Me Gusta,Florian Picasso,Me Gusta,2024-01-19,https://open.spotify.com/track/6QqG2ia9fn0ykLfoTMGSev,6QqG2ia9fn0ykLfoTMGSev
The Business,Tiësto,The Business,2020-09-16,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,6f3Slt0GbA2bPZlz0aIFXN
Crazy What Love Can Do,David Guetta,Crazy What Love Can Do,2022-04-08,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq,1WCEAGGRD066z2Q89ObXTq
Lose Somebody,Kygo,Golden Hour,2020-05-29,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza,1sgDyuLooyvEML4oHspNza
Lasting Lover,Sigala,Lasting Lover,2020-09-04,https://open.spotify.com/track/0DmAvNCAK08oCi7miSZUIY,0DmAvNCAK08oCi7miSZUIY
When I’m Gone (with Katy Perry),Alesso,When I’m Gone (with Katy Perry),2021-12-29,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the,5902W4uHWzhtOff1UK7the
Carried Away (Love To Love) (with Madison Beer),Surf Mesa,Carried Away (Love To Love) (with Madison Beer),2021-02-12,https://open.spotify.com/track/4IvuPZogXbY7LODs7qzr0W,4IvuPZogXbY7LODs7qzr0W
Lay Low,Tiësto,Lay Low,2023-01-06,https://open.spotify.com/track/0zKbDrEXKpnExhGQRe9dxt,0zKbDrEXKpnExhGQRe9dxt
